Sensor,Occupancy,Iteration,TimeStamp,accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,Temp,x,Occu,Count
0,calibrating,0,5/8/16 15:22,2,55,61,-8,107,-93,-262,-1646,-1650,27.1,1,1,130
0,calibrating,1,5/8/16 15:22,3,55,61,-7,78,-74,-250,-1631,-1665,27.1,2,1,376
0,calibrating,2,5/8/16 15:22,2,55,61,31,102,-59,-252,-1626,-1645,27.1,3,1,329
0,calibrating,3,5/8/16 15:22,0,55,59,51,148,-65,-246,-1628,-1650,27.1,4,1,
0,calibrating,4,5/8/16 15:22,2,54,60,471,-257,-363,-245,-1619,-1649,27.1,5,1,
0,calibrating,5,5/8/16 15:22,2,56,60,13,135,-39,-246,-1609,-1648,27.1,6,1,
0,calibrating,6,5/8/16 15:22,3,55,61,14,109,-61,-245,-1608,-1658,27,7,1,
0,calibrating,7,5/8/16 15:22,2,55,61,-34,125,-75,-246,-1607,-1644,27,8,1,
0,calibrating,8,5/8/16 15:22,3,55,61,16,61,-73,-250,-1603,-1645,27,9,1,
0,calibrating,9,5/8/16 15:22,3,56,61,15,132,-59,-246,-1595,-1639,27,10,1,
0,calibrating,10,5/8/16 15:22,3,56,61,-6,103,-86,-236,-1607,-1635,27,11,1,
0,calibrating,11,5/8/16 15:22,3,55,62,22,107,-77,-244,-1602,-1651,27,12,1,
0,calibrating,12,5/8/16 15:22,2,55,60,28,115,-46,-243,-1587,-1650,27,13,1,
0,calibrating,13,5/8/16 15:22,3,55,61,9,108,-32,-235,-1609,-1654,27,14,1,
0,calibrating,14,5/8/16 15:22,2,55,60,22,74,-87,-234,-1597,-1653,27,15,1,
0,calibrating,15,5/8/16 15:22,3,56,61,-4,77,-102,-247,-1596,-1650,27,16,1,
0,calibrating,16,5/8/16 15:23,3,55,60,89,84,-99,-248,-1598,-1652,26.9,17,1,
0,calibrating,17,5/8/16 15:23,2,55,61,5,77,5,-237,-1595,-1645,26.9,18,1,
0,calibrating,18,5/8/16 15:23,3,55,60,-5,104,-67,-242,-1593,-1649,26.9,19,1,
0,empty,19,5/8/16 15:23,3,55,61,0,86,-68,-246,-1594,-1649,26.9,20,0,
0,empty,20,5/8/16 15:23,2,55,61,25,99,-76,-246,-1612,-1654,26.9,21,0,
0,empty,21,5/8/16 15:23,2,54,61,-5,44,-79,-244,-1585,-1666,26.9,22,0,
0,empty,22,5/8/16 15:23,3,55,61,-2,72,-71,-236,-1588,-1660,26.9,23,0,
0,empty,23,5/8/16 15:23,3,56,61,13,79,-77,-236,-1594,-1660,26.9,24,0,
0,empty,24,5/8/16 15:23,3,56,60,18,102,-80,-239,-1590,-1644,26.9,25,0,
0,empty,25,5/8/16 15:23,3,55,61,7,109,-68,-245,-1583,-1662,26.8,26,0,
0,empty,26,5/8/16 15:23,2,56,60,8,54,-92,-242,-1605,-1662,26.8,27,0,
0,empty,27,5/8/16 15:23,3,55,61,15,92,-93,-240,-1591,-1662,26.8,28,0,
