Sensor,Occupancy,,Sensor,Occupancy,,,Sensor,Occupancy,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,73,77,376,Empty
1,calibrating,,2,calibrating,,,0,calibrating,,,,175,172,329,Occupied
1,calibrating,,2,calibrating,,,0,calibrating,,,,22,27,130,Uncertain
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,calibrating,,,0,calibrating,,,,,,,
1,calibrating,,2,0,,Iter,0,0,Iter,SUM,,,,,
1,0,,2,0,,1,0,0,13:01,0,,,,,
1,0,,2,0,,2,0,0,13:02,0,,,,,
1,0,,2,0,,3,0,0,13:03,0,,,,,
1,0,,2,0,,4,0,0,13:04,0,,,,,
1,0,,2,0,,5,0,0,13:05,0,,,,,
1,0,,2,0,,6,0,0,13:06,0,,,,,
1,0,,2,0,,7,0,0,13:07,0,,,,,
1,0,,2,0,,8,0,0,13:08,0,,,,,
1,0,,2,0,,9,0,0,13:09,0,,,,,
1,0,,2,0,,10,0,0,13:10,0,,,,,
1,0,,2,0,,11,0,0,13:11,0,,,,,
1,0,,2,0,,12,0,0,13:12,0,,,,,
1,0,,2,0,,13,0,0,13:13,0,,,,,
1,0,,2,1,,14,0,0,13:14,1,,,,,
1,0,,2,1,,15,0,0,13:15,1,,,,,
1,0,,2,1,,16,0,0,13:16,1,,,,,
1,0,,2,1,,17,0,0,13:17,1,,,,,
1,0,,2,1,,18,0,0,13:18,1,,,,,
1,0,,2,1,,19,0,0,13:19,1,,,,,
